room_title,woe_room_url,tag_id,tag
"Escape room ""Escape The Hydeout"" by Mission Escape Games in New York",https://worldofescapes.com/nyc/quests/mission-escape-games-escape-the-hydeout,3,Up to eight players
"Escape room ""reSEArch"" by Breakout's Imagine Escape Rooms in Tampa",https://worldofescapes.com/tampa/quests/imagine-escape-games-research,0,Public Ticketing
"Escape room ""reSEArch"" by Breakout's Imagine Escape Rooms in Tampa",https://worldofescapes.com/tampa/quests/imagine-escape-games-research,1,Up to eight players
"Escape room ""Castle Secrets"" by Time Escape in Seattle",https://worldofescapes.com/seattle/quests/time-escape-seattle-castle-secrets,0,Public Ticketing
"Escape room ""Castle Secrets"" by Time Escape in Seattle",https://worldofescapes.com/seattle/quests/time-escape-seattle-castle-secrets,1,Challenging
"Escape room ""Castle Secrets"" by Time Escape in Seattle",https://worldofescapes.com/seattle/quests/time-escape-seattle-castle-secrets,2,Historic
"Escape room ""Castle Secrets"" by Time Escape in Seattle",https://worldofescapes.com/seattle/quests/time-escape-seattle-castle-secrets,3,Mystical
"Escape room ""Castle Secrets"" by Time Escape in Seattle",https://worldofescapes.com/seattle/quests/time-escape-seattle-castle-secrets,4,Up to six players
"Escape room ""The Knights Quest"" by Cloak and Dagger Escape Rooms Wildwood in Cape May",https://worldofescapes.com/rio-grande/quests/cloak-and-dagger-escape-rooms-wildwood-the-knights-quest,0,Historic
"Escape room ""The Knights Quest"" by Cloak and Dagger Escape Rooms Wildwood in Cape May",https://worldofescapes.com/rio-grande/quests/cloak-and-dagger-escape-rooms-wildwood-the-knights-quest,1,Public Ticketing
"Escape room ""The Knights Quest"" by Cloak and Dagger Escape Rooms Wildwood in Cape May",https://worldofescapes.com/rio-grande/quests/cloak-and-dagger-escape-rooms-wildwood-the-knights-quest,2,ADA compliant
"Escape room ""The Knights Quest"" by Cloak and Dagger Escape Rooms Wildwood in Cape May",https://worldofescapes.com/rio-grande/quests/cloak-and-dagger-escape-rooms-wildwood-the-knights-quest,3,Up to eight players
"Escape room ""Homicide"" by The SafeHouse in Tulsa",https://worldofescapes.com/tulsa/quests/the-safehouse-homicide-2,0,Private Ticketing
"Escape room ""Homicide"" by The SafeHouse in Tulsa",https://worldofescapes.com/tulsa/quests/the-safehouse-homicide-2,1,ADA compliant
"Escape room ""Homicide"" by The SafeHouse in Tulsa",https://worldofescapes.com/tulsa/quests/the-safehouse-homicide-2,2,Up to eight players
"Escape room ""High School Detention"" by House of Hints in San Diego",https://worldofescapes.com/san-diego/quests/house-of-hints-high-school-detention,0,Private Ticketing
"Escape room ""High School Detention"" by House of Hints in San Diego",https://worldofescapes.com/san-diego/quests/house-of-hints-high-school-detention,1,Head-to-head
"Escape room ""High School Detention"" by House of Hints in San Diego",https://worldofescapes.com/san-diego/quests/house-of-hints-high-school-detention,2,Up to five players
"Escape room ""The Upside Down"" by Cincinnati Escape Room in Cincinnati",https://worldofescapes.com/cincinnati/quests/cincinnati-escape-room-the-upside-down,0,Public Ticketing
"Escape room ""The Upside Down"" by Cincinnati Escape Room in Cincinnati",https://worldofescapes.com/cincinnati/quests/cincinnati-escape-room-the-upside-down,1,Up to eight players
"Escape room ""The Strange Room"" by Kuma Escape in San Jose",https://worldofescapes.com/san-jose/quests/kuma-escape-the-strange-room,0,Challenging
"Escape room ""The Strange Room"" by Kuma Escape in San Jose",https://worldofescapes.com/san-jose/quests/kuma-escape-the-strange-room,1,Public Ticketing
