,0,1,2,3
0,60.0,0.0,0.54,3.0
1,60.0,0.0,0.62,2.0
2,60.0,0.0,0.49666883819103547,2.0
3,60.0,0.0,0.55,3.0
4,60.0,0.0,0.53,2.0
5,60.0,0.0,0.49666883819103547,2.0
6,60.0,0.0,0.49666883819103547,2.0
7,60.0,0.0,0.3365660536830355,3.0
8,60.0,0.0,0.17646326917503552,4.0
9,60.0,0.0,0.3365660536830355,3.0
10,60.0,0.0,0.3365660536830355,3.0
11,60.0,0.0,0.3365660536830355,3.0
12,60.0,0.0,0.49666883819103547,2.0
13,60.0,2.0,0.49666883819103547,2.0
14,60.0,2.0,0.49666883819103547,2.0
15,60.0,2.0,0.49666883819103547,2.0
16,60.0,0.0,0.33,3.0
17,60.0,0.0,0.25,3.0
18,60.0,0.0,0.55,2.0
19,60.0,0.0,0.17646326917503552,4.0
20,60.0,0.0,0.3365660536830355,3.0
21,60.0,0.0,0.6567716226990354,1.0
22,60.0,1.0,0.4,4.0
23,60.0,0.0,0.49666883819103547,2.0
24,60.0,0.0,0.49666883819103547,2.0
25,60.0,2.0,0.17646326917503552,4.0
26,60.0,0.0,0.49666883819103547,2.0
27,60.0,0.0,0.49666883819103547,2.0
28,60.0,0.0,0.49666883819103547,2.0
29,60.0,0.0,0.49666883819103547,2.0
30,60.0,0.0,0.4,2.0
31,60.0,0.0,0.49666883819103547,2.0
32,60.0,0.0,0.25,3.0
33,60.0,0.0,0.49666883819103547,2.0
34,60.0,0.0,0.49666883819103547,2.0
35,60.0,0.0,0.49666883819103547,2.0
36,60.0,0.0,0.49666883819103547,2.0
37,60.0,0.0,0.49666883819103547,2.0
38,60.0,1.0,0.49666883819103547,2.0
39,60.0,0.0,0.3365660536830355,3.0
40,60.0,0.0,0.49666883819103547,2.0
41,60.0,0.0,0.17646326917503552,4.0
42,60.0,0.0,0.45,3.0
43,60.0,0.0,0.49666883819103547,2.0
44,60.0,0.0,0.3365660536830355,3.0
45,60.0,0.0,0.17646326917503552,4.0
46,60.0,0.0,0.49666883819103547,2.0
47,60.0,0.0,0.49666883819103547,2.0
48,60.0,0.0,0.17646326917503552,4.0
49,60.0,0.0,0.49666883819103547,2.0
50,60.0,0.0,0.49666883819103547,2.0
51,60.0,0.0,0.17646326917503552,4.0
52,60.0,0.0,0.49666883819103547,2.0
53,60.0,1.0,0.49666883819103547,2.0
54,60.0,0.0,0.49666883819103547,2.0
55,60.0,0.0,0.49666883819103547,2.0
56,60.0,0.0,0.3365660536830355,3.0
57,60.0,0.0,0.49666883819103547,2.0
58,60.0,0.0,0.3365660536830355,3.0
59,60.0,0.0,0.17646326917503552,4.0
60,60.0,0.0,0.49666883819103547,2.0
61,60.0,0.0,0.49666883819103547,2.0
62,60.0,0.0,0.49666883819103547,2.0
63,60.0,0.0,0.49666883819103547,2.0
64,60.0,0.0,0.3365660536830355,3.0
65,60.0,0.0,0.17646326917503552,4.0
66,60.0,0.0,0.3365660536830355,3.0
67,60.0,0.0,0.17646326917503552,4.0
68,60.0,0.0,0.3365660536830355,3.0
69,60.0,0.0,0.49666883819103547,2.0
70,60.0,0.0,0.3365660536830355,3.0
71,60.0,0.0,0.3365660536830355,3.0
72,60.0,0.0,0.17646326917503552,4.0
73,60.0,0.0,0.49666883819103547,2.0
74,60.0,0.0,0.3365660536830355,3.0
75,60.0,0.0,0.17646326917503552,4.0
76,60.0,0.0,0.49666883819103547,2.0
77,60.0,0.0,0.3365660536830355,3.0
78,30.0,0.0,0.49666883819103547,2.0
79,60.0,0.0,0.49666883819103547,2.0
80,60.0,2.0,0.49666883819103547,2.0
81,60.0,0.0,0.16,4.0
82,60.0,2.0,0.49666883819103547,2.0
83,60.0,0.0,0.49666883819103547,2.0
84,60.0,0.0,0.49666883819103547,2.0
85,60.0,0.0,0.7,4.0
86,60.0,0.0,0.47,2.0
87,60.0,1.0,0.3365660536830355,3.0
88,60.0,1.0,0.49666883819103547,2.0
89,60.0,0.0,0.8,3.0
90,60.0,1.0,0.49666883819103547,2.0
91,60.0,0.0,0.3365660536830355,3.0
92,60.0,0.0,0.49666883819103547,2.0
93,60.0,0.0,0.3365660536830355,3.0
