room_title,woe_room_url,tag_id,tag
"Escape room ""King Tut’s Curse"" by Escape Tactic in Charlotte",https://worldofescapes.com/charlotte/quests/escape-tactic-king-tuts-curse,0,Beginners
"Escape room ""King Tut’s Curse"" by Escape Tactic in Charlotte",https://worldofescapes.com/charlotte/quests/escape-tactic-king-tuts-curse,1,Ancient worlds
"Escape room ""King Tut’s Curse"" by Escape Tactic in Charlotte",https://worldofescapes.com/charlotte/quests/escape-tactic-king-tuts-curse,2,Public Ticketing
"Escape room ""King Tut’s Curse"" by Escape Tactic in Charlotte",https://worldofescapes.com/charlotte/quests/escape-tactic-king-tuts-curse,3,Up to ten players
