room_title,woe_room_url,tag_id,tag
"Escape room ""The Great Pirate Escape"" by Brainy Actz in Temecula",https://worldofescapes.com/temecula/quests/Brainy-Actz-The-Great-Pirate-Escape,0,Adventure
"Escape room ""The Great Pirate Escape"" by Brainy Actz in Temecula",https://worldofescapes.com/temecula/quests/Brainy-Actz-The-Great-Pirate-Escape,1,Public Ticketing
"Escape room ""The Great Pirate Escape"" by Brainy Actz in Temecula",https://worldofescapes.com/temecula/quests/Brainy-Actz-The-Great-Pirate-Escape,2,Up to ten players
