room_title,woe_room_url,tag_id,tag
"Escape room ""Last Supper"" by Quest Tavern Escape Room in Pomona",https://worldofescapes.com/pomona/quests/quest-tavern-escape-room-last-supper,0,Scary
"Escape room ""Last Supper"" by Quest Tavern Escape Room in Pomona",https://worldofescapes.com/pomona/quests/quest-tavern-escape-room-last-supper,1,Mystical
"Escape room ""Last Supper"" by Quest Tavern Escape Room in Pomona",https://worldofescapes.com/pomona/quests/quest-tavern-escape-room-last-supper,2,Public Ticketing
"Escape room ""Last Supper"" by Quest Tavern Escape Room in Pomona",https://worldofescapes.com/pomona/quests/quest-tavern-escape-room-last-supper,3,Halloween
"Escape room ""Last Supper"" by Quest Tavern Escape Room in Pomona",https://worldofescapes.com/pomona/quests/quest-tavern-escape-room-last-supper,4,Up to eight players
