room_title,woe_room_url,tag_id,tag
"Escape room ""Bayou Mystery"" by Real Escape in Bakersfield",https://worldofescapes.com/bakersfield/quests/real-escape-bayou-mystery,0,Mystical
"Escape room ""Bayou Mystery"" by Real Escape in Bakersfield",https://worldofescapes.com/bakersfield/quests/real-escape-bayou-mystery,1,Public Ticketing
"Escape room ""Bayou Mystery"" by Real Escape in Bakersfield",https://worldofescapes.com/bakersfield/quests/real-escape-bayou-mystery,2,ADA compliant
"Escape room ""Bayou Mystery"" by Real Escape in Bakersfield",https://worldofescapes.com/bakersfield/quests/real-escape-bayou-mystery,3,Up to eight players
