room_title,woe_room_url,tag_id,tag
"Escape room ""Storm Surge"" by Mind Trap Escape Rooms in Chicago",https://worldofescapes.com/chicago/quests/mind-trap-escape-rooms-escape-storm-surge,0,Adventure
"Escape room ""Storm Surge"" by Mind Trap Escape Rooms in Chicago",https://worldofescapes.com/chicago/quests/mind-trap-escape-rooms-escape-storm-surge,1,Public Ticketing
"Escape room ""Storm Surge"" by Mind Trap Escape Rooms in Chicago",https://worldofescapes.com/chicago/quests/mind-trap-escape-rooms-escape-storm-surge,2,Up to ten players
