room_title,woe_room_url,tag_id,tag
"Escape room ""The President's Briefcase"" by Epic Escape Game in Denver",https://worldofescapes.com/denver/quests/epic-escape-game-the-presidents-briefcase,0,Public Ticketing
"Escape room ""The President's Briefcase"" by Epic Escape Game in Denver",https://worldofescapes.com/denver/quests/epic-escape-game-the-presidents-briefcase,1,Top Secret
"Escape room ""The President's Briefcase"" by Epic Escape Game in Denver",https://worldofescapes.com/denver/quests/epic-escape-game-the-presidents-briefcase,2,Up to eight players
