room_title,woe_room_url,tag_id,tag
"Escape room ""Detective vs. Dillinger"" by Escape Artistry in Chicago",https://worldofescapes.com/chicago/quests/escape-artistry-detective-vs-dillinger,0,Detective
"Escape room ""Detective vs. Dillinger"" by Escape Artistry in Chicago",https://worldofescapes.com/chicago/quests/escape-artistry-detective-vs-dillinger,1,Challenging
"Escape room ""Detective vs. Dillinger"" by Escape Artistry in Chicago",https://worldofescapes.com/chicago/quests/escape-artistry-detective-vs-dillinger,2,Historic
"Escape room ""Detective vs. Dillinger"" by Escape Artistry in Chicago",https://worldofescapes.com/chicago/quests/escape-artistry-detective-vs-dillinger,3,Public Ticketing
"Escape room ""Detective vs. Dillinger"" by Escape Artistry in Chicago",https://worldofescapes.com/chicago/quests/escape-artistry-detective-vs-dillinger,4,Up to ten players
