room_title,woe_room_url,tag_id,tag
"Escape room ""Wizard's Chamber"" by Escape Gettysburg in Gettysburg",https://worldofescapes.com/gettysburg/quests/escape-gettysburg-wizards-chamber,0,Adventure
"Escape room ""Wizard's Chamber"" by Escape Gettysburg in Gettysburg",https://worldofescapes.com/gettysburg/quests/escape-gettysburg-wizards-chamber,1,Mystical
"Escape room ""Wizard's Chamber"" by Escape Gettysburg in Gettysburg",https://worldofescapes.com/gettysburg/quests/escape-gettysburg-wizards-chamber,2,Up to six players
