room_title,woe_room_url,tag_id,tag
"Escape room ""Cold Case"" by Escape Hot Springs in Hot Springs",https://worldofescapes.com/hot-springs/quests/escape-hot-springs-cold-case,0,Detective
"Escape room ""Cold Case"" by Escape Hot Springs in Hot Springs",https://worldofescapes.com/hot-springs/quests/escape-hot-springs-cold-case,1,Challenging
"Escape room ""Cold Case"" by Escape Hot Springs in Hot Springs",https://worldofescapes.com/hot-springs/quests/escape-hot-springs-cold-case,2,Public Ticketing
"Escape room ""Cold Case"" by Escape Hot Springs in Hot Springs",https://worldofescapes.com/hot-springs/quests/escape-hot-springs-cold-case,3,Up to ten players
