room_title,woe_room_url,review_id,review
"Escape room ""Conspiracy"" by Off The Couch Games in San Jose",https://worldofescapes.com/san-jose/quests/off-the-couch-games-conspiracy,0,Did the conspiracy escape room. It has well done puzzles. Also the waiting room has some nice games and puzzles too. So get there early.
"Escape room ""Conspiracy"" by Off The Couch Games in San Jose",https://worldofescapes.com/san-jose/quests/off-the-couch-games-conspiracy,1,"We did conspiracy and it was super fun and challenging, the staff was wonderful and it sounds like they are thinking of some really great ideas for future rooms. Definitely have to try everything they have in the future"
"Escape room ""Conspiracy"" by Off The Couch Games in San Jose",https://worldofescapes.com/san-jose/quests/off-the-couch-games-conspiracy,2,"Just did my first escape room for my birthday. We did ""conspiracy"" and our game master, Jeremy was fun and really helpful. The 6 of us had a great time and we (with a lot of help) ESCAPED!!"
