room_title,woe_room_url,review_id,review
"Escape room ""The One with the Dragon"" by Baker Street Escapes in Oklahoma City",https://worldofescapes.com/oklahoma-city/quests/baker-street-escapes-the-one-with-dragon,0,We had such a great time! We had 8 friends and chose 'The One With the Dragon'. The guys were awesome and super helpful every step of the way- from booking the group session to showing us around afterwards. We will definitely be back!!
"Escape room ""The One with the Dragon"" by Baker Street Escapes in Oklahoma City",https://worldofescapes.com/oklahoma-city/quests/baker-street-escapes-the-one-with-dragon,1,This place was just fantastic. We did the dragon treasure room and loved every second. We will definitely be back to try the other rooms.
"Escape room ""The One with the Dragon"" by Baker Street Escapes in Oklahoma City",https://worldofescapes.com/oklahoma-city/quests/baker-street-escapes-the-one-with-dragon,2,Andrew was friendly and helpful. We loved the Dragon room. And we actually finished it (there were 5 of us)! I definitely recommend this place. The decor and props really made the adventure.
