room_title,woe_room_url,review_id,review
"Escape room ""Greybeard's Treasure"" by Amelia Island Escape Rooms in Jacksonville",https://worldofescapes.com/jacksonville/quests/amelia-island-escape-rooms-greybeards-treasure,0,So much fun! We went with two other couples and it was a really fun group date night. The staff was courteous​ and informative- none of us had ever been to an escape room before. We did Greybeard's Treasure and everyone thought the game was very well executed. We will definitely be back!
"Escape room ""Greybeard's Treasure"" by Amelia Island Escape Rooms in Jacksonville",https://worldofescapes.com/jacksonville/quests/amelia-island-escape-rooms-greybeards-treasure,1,My husband and I did Graybeards Treasure room today and loved it! There were puzzles at every corner and it was truly a challenge but we managed to escape with 8 minutes left. Staff was very friendly and helpful with clues to subtly steer you in the right direction. Will definitely be back for the attic!
"Escape room ""Greybeard's Treasure"" by Amelia Island Escape Rooms in Jacksonville",https://worldofescapes.com/jacksonville/quests/amelia-island-escape-rooms-greybeards-treasure,2,We had a great time in Greybeards treasure! We had a group of six. Very challenging and fun! Definitely will be back to try the other rooms!
