room_title,woe_room_url,review_id,review
"Escape room ""221B Baker Street"" by Cincinnati Escape Room in Cincinnati",https://worldofescapes.com/cincinnati/quests/Cincinnati-Escape-Room-221B-Baker-Street,0,Phenomenal! We only had a group of 4 so we were paired with 4 others. Love the idea of having to work through something with people you haven't met. We had a great group that worked great together. Great story lines... The pressure was on!
"Escape room ""221B Baker Street"" by Cincinnati Escape Room in Cincinnati",https://worldofescapes.com/cincinnati/quests/Cincinnati-Escape-Room-221B-Baker-Street,1,"We had the best time, We didn't get out but we had fun, I highly recommend it."
"Escape room ""221B Baker Street"" by Cincinnati Escape Room in Cincinnati",https://worldofescapes.com/cincinnati/quests/Cincinnati-Escape-Room-221B-Baker-Street,2,"Loved the Baker Street Challenge with 6 of my cooleague last Sunday. 60 min looked a lot, but really wasn't for a big group like ours. We had a great time and will go again sometime in future."
"Escape room ""221B Baker Street"" by Cincinnati Escape Room in Cincinnati",https://worldofescapes.com/cincinnati/quests/Cincinnati-Escape-Room-221B-Baker-Street,3,So much fun!! Definitely recommend! Worth every penny!
"Escape room ""221B Baker Street"" by Cincinnati Escape Room in Cincinnati",https://worldofescapes.com/cincinnati/quests/Cincinnati-Escape-Room-221B-Baker-Street,4,Super fun! We had a blast going through the room. We will be talking about this adventure for a long time!
"Escape room ""221B Baker Street"" by Cincinnati Escape Room in Cincinnati",https://worldofescapes.com/cincinnati/quests/Cincinnati-Escape-Room-221B-Baker-Street,5,Four of us went tonight & did the Baker Street room. More fun than I could have ever imagined. Highly recommend this!!
"Escape room ""221B Baker Street"" by Cincinnati Escape Room in Cincinnati",https://worldofescapes.com/cincinnati/quests/Cincinnati-Escape-Room-221B-Baker-Street,6,"Loved it. 221B was well worth the money. It was challenging, but not impossible. I would absolutely recommend to friends."
