room_title,woe_room_url,review_id,review
"Escape room ""Bomb Squad"" by Escape the Space in Athens",https://worldofescapes.com/athens/quests/escape-the-space-bomb-defusal,0,Such a fun night! A great way to get together with a group for a fun evening out.
"Escape room ""Bomb Squad"" by Escape the Space in Athens",https://worldofescapes.com/athens/quests/escape-the-space-bomb-defusal,1,Fantastic experience! Friendly staff and challenging puzzles! Definitely want to try again!
"Escape room ""Bomb Squad"" by Escape the Space in Athens",https://worldofescapes.com/athens/quests/escape-the-space-bomb-defusal,2,"We had a ton of fun! This was my first time doing an escape room and same with most or all of our group. We had 11 people in the Tree House Bomb Defusal site. Really recommend this - so many puzzles to solve and a lot going on, everyone got involved."
