room_title,woe_room_url,tag_id,tag
"Escape room ""The Fortune Teller"" by Epic Escape Game in Phoenix",https://worldofescapes.com/phoenix/quests/Epic-Escape-Game-The-Fortune-Teller,2,Up to eight players
"Escape room ""The 13th Floor"" by Escape Dothan in Dothan",https://worldofescapes.com/dothan/quests/escape-dothan-the-13th-floor,0,Public Ticketing
"Escape room ""The 13th Floor"" by Escape Dothan in Dothan",https://worldofescapes.com/dothan/quests/escape-dothan-the-13th-floor,1,Up to six players
"Escape room ""The Path"" by Puzzle Effect Phoenix in Phoenix",https://worldofescapes.com/phoenix/quests/the-puzzle-effect-phoenix-the-path,0,Private Ticketing
"Escape room ""The Path"" by Puzzle Effect Phoenix in Phoenix",https://worldofescapes.com/phoenix/quests/the-puzzle-effect-phoenix-the-path,1,ADA compliant
"Escape room ""The Path"" by Puzzle Effect Phoenix in Phoenix",https://worldofescapes.com/phoenix/quests/the-puzzle-effect-phoenix-the-path,2,Ancient worlds
"Escape room ""The Path"" by Puzzle Effect Phoenix in Phoenix",https://worldofescapes.com/phoenix/quests/the-puzzle-effect-phoenix-the-path,3,Mystical
"Escape room ""The Path"" by Puzzle Effect Phoenix in Phoenix",https://worldofescapes.com/phoenix/quests/the-puzzle-effect-phoenix-the-path,4,Up to six players
"Escape room ""Murder at the Mansion"" by Escape Dothan in Dothan",https://worldofescapes.com/dothan/quests/escape-dothan-murder-at-the-mansion,0,Beginners
"Escape room ""Murder at the Mansion"" by Escape Dothan in Dothan",https://worldofescapes.com/dothan/quests/escape-dothan-murder-at-the-mansion,1,Detective
"Escape room ""Murder at the Mansion"" by Escape Dothan in Dothan",https://worldofescapes.com/dothan/quests/escape-dothan-murder-at-the-mansion,2,Public Ticketing
"Escape room ""Murder at the Mansion"" by Escape Dothan in Dothan",https://worldofescapes.com/dothan/quests/escape-dothan-murder-at-the-mansion,3,Up to eight players
"Escape room ""Detention"" by Key Quest in Phoenix",https://worldofescapes.com/phoenix/quests/key-quest-phoenix-detention,0,Beginners
"Escape room ""Detention"" by Key Quest in Phoenix",https://worldofescapes.com/phoenix/quests/key-quest-phoenix-detention,1,Private Ticketing
"Escape room ""Detention"" by Key Quest in Phoenix",https://worldofescapes.com/phoenix/quests/key-quest-phoenix-detention,2,Up to six players
