room_title,woe_room_url,room_address,room_description,player_range,time_limit,difficulty_level,fear_level,age_requirement,success_rate,min_players,max_players,time_limit_str,minimum_age,difficulty_int,fear_int,query_address,room_latitude,room_longitude
"Escape room ""The Crypt"" by Escape New Haven in New Haven",https://worldofescapes.com/new-haven/quests/Escape-New-Haven-The-Crypt,"103 Whitney Ave New Haven, CT 06510","You are members of the crew of a major upcoming movie, “The Crypt.” The director and the star, the famous has-been Holly Mayweather, have been acting strange lately, and odd things keep happening on set, so you’ve decided to sneak in late at night and see if you can find out what’s going on. You have one hour before the security guard comes back to make his rounds. Let’s see what you can find.",2-4,60,Difficult,A little scary,10+,0.2,2,4,60 minutes,10,2,1,"103 Whitney Ave, New Haven, CT 06510, USA",41.31336719999999,-72.9213189
"Escape room ""Plight of the Margo"" by ConTRAPtions Escape Rooms in Fort Collins",https://worldofescapes.com/fort-collins/quests/contraptions-escape-rooms-plight-of-the-margo,"3720 S. College Ave. Suite B Fort Collins, CO 80525","Your crew must journey through the stars to find the distressed starship Margo, but you may have gotten more than you bargained for... come find out what!

Two-part room, each part is 90 minutes. Narrative-rich, challenging puzzles, perfect for those who appreciate world-building in an escape room.",4-10,90,Very difficult,Scary,12+,0.2,4,10,90 minutes,12,3,2,"3720 S College Ave Suite B, Fort Collins, CO 80525, USA",40.5358993,-105.076356
"Escape room ""Zombie Roadhouse"" by Breakout Escape Rooms in Orlando",https://worldofescapes.com/orlando/quests/breakout-escape-rooms-orlando-zombie-roadhouse,"8155 Vineland Ave Orlando, FL 32821","It has been several months since the collapse of the world. A virus originating from an unknown source has caused a zombie outbreak that has overtaken society. The few survivors that have not been contaminated have taken refuge in various locations. Many of these locations are running low or are out of supplies.

​You have come upon a roadhouse bar. There is only one hour of fuel left in the generator. You enter the premises hoping to get an hour of refuge while collecting the supplies you need to defend yourself ​and survive the zombie apocalypse!",6-14,60,Very difficult,A little scary,15+,0.15,6,14,60 minutes,15,3,1,"8155 Vineland Ave, Orlando, FL 32821, USA",28.3875955,-81.485672
"Escape room ""Hostage"" by Breakout Games - Atlanta in Atlanta",https://worldofescapes.com/atlanta/quests/breakout-atlanta-hostage,"3867 Roswell Rd, Ste 200 Atlanta, GA 30342","You wake up handcuffed and trapped in a small dark room. The last thing you remember is your airplane being hijacked. You realize the same man who took down the plane is responsible for your kidnapping. Can you find out what happened and why and escape before the hijacker comes back?


",2-8,60,Difficult,Not scary,14+,None,2,8,60 minutes,14,2,0,"3867 Roswell Rd #200, Atlanta, GA 30342, USA",33.855768,-84.3826364
"Escape room ""Dreadnought"" by Novus Escape Room in Dover",https://worldofescapes.com/dover/quests/novus-escape-room-middletown-dreadnought,"727 N Broad St Middletown, DE 19709","127 years ago, the world survived a catastrophic ice age known as the Whiteout and is now going through the aftermath of this global crisis, which blanketed lands with water and reduced the human population by large numbers. Nations now live on giant arks known as Dreadnought, which are able to sustain ecosystem and life on a smaller scale. Only a small percentage of land remains and every 20 years, candidates will be picked at random to be transported to this land to live out their remaining lives. Being the chosen ones this time, you and the rest board the transport vessel with glimmering excitement to finally see land for the first time.",2-8,60,Average,Not scary,13+,None,2,8,60 minutes,13,1,0,"727 N Broad St, Middletown, DE 19709, USA",39.45953799999999,-75.7175092
"Escape room ""Passengers in Peril"" by Try'n Escape in Denver",https://worldofescapes.com/denver/quests/try-n-escape-passengers-in-peril,"19515 E Parker Square Dr Parker, CO 80134","You and your group were at a party in downtown New York. Everyone took the subway there and back. On your way back, your train becomes derailed and slides violently down the tunnel. You and your group are the only survivors. With no food and no service, you manage to walk your way to the nearest subway station. Unfortunately, the station is completely abandoned and worse yet, the tunnel behind you has caved in. Can your team use the only remaining train to escape before you succumb to the lack of oxygen… or something worse?",2-6,60,Difficult,Not scary,14+,None,2,6,60 minutes,14,2,0,"19515 E Parker Square Dr, Parker, CO 80134, USA",39.509054,-104.7623192
"Escape room ""Amnesia"" by Puzzle Effect Denver in Denver",https://worldofescapes.com/denver/quests/denver-escape-room-amnesia,"11674 N Huron St, Suite 300 Northglenn, CO 80234","Hoping to earn some extra cash, you have volunteered for an experimental drug trial. After taking the drug, you are told you will forget everything that has happened in the last hour unless you can locate the antidote. You’re not quite sure why, but things start to feel familiar. You start to suspect it is not the first time you’ve done this. How long have you been here? Will this be the time you finally get to the end or are you doomed to repeat the cycle forever…?",4-10,60,Average,Not scary,,None,4,10,60 minutes,nan,1,0,"11674 Huron St #300, Northglenn, CO 80234, USA",39.9085309,-104.9958878
"Escape room ""The Lost Tomb of Monthu"" by America's Escape Game in Miami",https://worldofescapes.com/miami/quests/americas-escape-game-the-lost-tomb-of-monthu,12701 W. Sunrise Blvd Sunrise FL 33323,"Jeffery Lowsley, a renowned Egyptologist, has gone missing after traveling to Egypt some weeks ago. The professor believed that an ancient ruby lies somewhere in the tomb with the power to unlock the historical relations between ancient Egypt and this lost civilization.
Unlock your inner explorer as you navigate the mysterious tomb. Be warned, tombs are always cryptic and filled with mystery – you will need to be shrewd, focused and open to all possibilities.",2-8,60,Very difficult,Not scary,,None,2,8,60 minutes,nan,3,0,"12701 W Sunrise Blvd, Sunrise, FL 33323, USA",26.1455034,-80.3229313
"Escape room ""Blackbeard’s Brig"" by Escape Rooms FL in Miami",https://worldofescapes.com/miami/quests/escape-rooms-fl-blackbeards-brig,"4937 Coconut Creek Pkwy Coconut Creek, FL 33063","Travel back to a time when the infamous pirate Blackbeard terrorized the seven seas. Plunder his prized treasure map and escape his hideout!
You’ll have sixty minutes to scour his cabin for clues, solve a series of puzzles and riddles, find the Treasure Map and make your escape from his hideout. The price of failure? There might just be a plank to walk with your name on it!",2-8,60,Average,Not scary,14+,None,2,8,60 minutes,14,1,0,"4937 Coconut Creek Pkwy, Coconut Creek, FL 33063, USA",26.2461582,-80.1912947
"Escape room ""The Theater"" by Escape the Room Denver in Denver",https://worldofescapes.com/denver/quests/escape-the-room-denver-the-theater,"8501 W Bowles Ave Littleton, CO 80123",This fun-filled hour will be like living a little bit of Toy Story mixed with Howdy Doody. You have 60 minutes to get control or it's curtains for everyone!,2-8,60,Average,Not scary,10+,None,2,8,60 minutes,10,1,0,"8501 W Bowles Ave, Littleton, CO 80123, USA",39.6119332,-105.0955648
"Escape room ""Shipwrecked"" by iPanic Escape Room in Lakeland",https://worldofescapes.com/lakeland/quests/ipanic-escape-room-shipwrecked,"3800 US Hwy 98 N #126 Lakeland, FL 33809","With only 1 hour to scavage the shipwreck, will you be able to find Black Beards Treasure? Or will yee become shark bait?!",2-12,60,Difficult,Not scary,14+,None,2,12,60 minutes,14,2,0,"3800 US Hwy 98 N #126, Lakeland, FL 33809, USA",28.0937664,-81.9778558
"Escape room ""Hollywood Premiere - Destination Los Angeles"" by ALL IN Adventures Orange Park in Jacksonville",https://worldofescapes.com/jacksonville/quests/all-in-adventures-orange-park-hollywood-premiere-destination-los-angeles,"1910 Wells Rd Orange Park, FL 32073","You have been selected to take part in a new TV celebrity reality show “Name That Celebrity”. You have 50 minutes to identify a hidden celebrity and if you are really good, go for the Bonus Prize by also correctly identifying which hidden booth they are in.
",2-8,60,Average,Not scary,14+,None,2,8,60 minutes,14,1,0,"1910 Wells Rd, Orange Park, FL 32073, USA",30.1858012,-81.7354227
