room_title,woe_room_url,tag_id,tag
"Escape room ""Panic Room"" by South Beach Room Escape in Miami",https://worldofescapes.com/miami/quests/south-beach-room-escape-panic-room,0,Public Ticketing
"Escape room ""Panic Room"" by South Beach Room Escape in Miami",https://worldofescapes.com/miami/quests/south-beach-room-escape-panic-room,1,Halloween
"Escape room ""Panic Room"" by South Beach Room Escape in Miami",https://worldofescapes.com/miami/quests/south-beach-room-escape-panic-room,2,DISCOUNT!
"Escape room ""Panic Room"" by South Beach Room Escape in Miami",https://worldofescapes.com/miami/quests/south-beach-room-escape-panic-room,3,Immersive
"Escape room ""Panic Room"" by South Beach Room Escape in Miami",https://worldofescapes.com/miami/quests/south-beach-room-escape-panic-room,4,Up to ten players
