room_title,woe_room_url,tag_id,tag
"Escape room ""Zombie Escape"" by Castle of Chaos in Salt Lake City",https://worldofescapes.com/slc/quests/chaos-escape-rooms-zombie-escape,0,Apocalypse
"Escape room ""Zombie Escape"" by Castle of Chaos in Salt Lake City",https://worldofescapes.com/slc/quests/chaos-escape-rooms-zombie-escape,1,Public Ticketing
"Escape room ""Zombie Escape"" by Castle of Chaos in Salt Lake City",https://worldofescapes.com/slc/quests/chaos-escape-rooms-zombie-escape,2,Up to ten players
