room_title,woe_room_url,tag_id,tag
"Escape room ""Area 51"" by Brainstorm Escape Games in Atlanta",https://worldofescapes.com/atlanta/quests/brainstorm-escape-games-area-51,0,Public Ticketing
"Escape room ""Area 51"" by Brainstorm Escape Games in Atlanta",https://worldofescapes.com/atlanta/quests/brainstorm-escape-games-area-51,1,Top Secret
"Escape room ""Area 51"" by Brainstorm Escape Games in Atlanta",https://worldofescapes.com/atlanta/quests/brainstorm-escape-games-area-51,2,Mystical
"Escape room ""Area 51"" by Brainstorm Escape Games in Atlanta",https://worldofescapes.com/atlanta/quests/brainstorm-escape-games-area-51,3,Up to ten players
