room_title,woe_room_url,tag_id,tag
"Escape room ""Gold Rush"" by The Escape Game Jacksonville in Jacksonville",https://worldofescapes.com/jacksonville/quests/the-escape-game-jacksonville-gold-rush,0,Adventure
"Escape room ""Gold Rush"" by The Escape Game Jacksonville in Jacksonville",https://worldofescapes.com/jacksonville/quests/the-escape-game-jacksonville-gold-rush,1,Public Ticketing
"Escape room ""Gold Rush"" by The Escape Game Jacksonville in Jacksonville",https://worldofescapes.com/jacksonville/quests/the-escape-game-jacksonville-gold-rush,2,Immersive
"Escape room ""Gold Rush"" by The Escape Game Jacksonville in Jacksonville",https://worldofescapes.com/jacksonville/quests/the-escape-game-jacksonville-gold-rush,3,Up to eight players
