room_title,woe_room_url,tag_id,tag
"Escape room ""Monologue Murder"" by Escape This Live: Columbus in Columbus (GA)",https://worldofescapes.com/columbus-ga/quests/escape-this-live-columbus-monologue-murder,0,Beginners
"Escape room ""Monologue Murder"" by Escape This Live: Columbus in Columbus (GA)",https://worldofescapes.com/columbus-ga/quests/escape-this-live-columbus-monologue-murder,1,Mystical
"Escape room ""Monologue Murder"" by Escape This Live: Columbus in Columbus (GA)",https://worldofescapes.com/columbus-ga/quests/escape-this-live-columbus-monologue-murder,2,Public Ticketing
"Escape room ""Monologue Murder"" by Escape This Live: Columbus in Columbus (GA)",https://worldofescapes.com/columbus-ga/quests/escape-this-live-columbus-monologue-murder,3,Up to six players
