room_title,woe_room_url,tag_id,tag
"Escape room ""Island Escape"" by Breakout Games - Minneapolis in Minneapolis - St. Paul",https://worldofescapes.com/minneapolis/quests/breakout-games-minneapolis-island-escape,0,Adventure
"Escape room ""Island Escape"" by Breakout Games - Minneapolis in Minneapolis - St. Paul",https://worldofescapes.com/minneapolis/quests/breakout-games-minneapolis-island-escape,1,Immersive
"Escape room ""Island Escape"" by Breakout Games - Minneapolis in Minneapolis - St. Paul",https://worldofescapes.com/minneapolis/quests/breakout-games-minneapolis-island-escape,2,Private Ticketing
"Escape room ""Island Escape"" by Breakout Games - Minneapolis in Minneapolis - St. Paul",https://worldofescapes.com/minneapolis/quests/breakout-games-minneapolis-island-escape,3,Up to eight players
