room_title,woe_room_url,tag_id,tag
"Escape room ""Cyberpunk VR"" by VR Tech Lounge in Boise",https://worldofescapes.com/boise/quests/vr-tech-lounge-cyberpunk,0,Challenging
"Escape room ""Cyberpunk VR"" by VR Tech Lounge in Boise",https://worldofescapes.com/boise/quests/vr-tech-lounge-cyberpunk,1,Futuristic
"Escape room ""Cyberpunk VR"" by VR Tech Lounge in Boise",https://worldofescapes.com/boise/quests/vr-tech-lounge-cyberpunk,2,VR
"Escape room ""Cyberpunk VR"" by VR Tech Lounge in Boise",https://worldofescapes.com/boise/quests/vr-tech-lounge-cyberpunk,3,Up to six players
