room_title,woe_room_url,tag_id,tag
"Escape room ""Special Agent - Destination Langley"" by ALL IN Adventures Woodbridge in Garwood",https://worldofescapes.com/garwood/quests/all-in-adventures-woodbridge-special-agent-destination-langley,0,Top Secret
"Escape room ""Special Agent - Destination Langley"" by ALL IN Adventures Woodbridge in Garwood",https://worldofescapes.com/garwood/quests/all-in-adventures-woodbridge-special-agent-destination-langley,1,Public Ticketing
"Escape room ""Special Agent - Destination Langley"" by ALL IN Adventures Woodbridge in Garwood",https://worldofescapes.com/garwood/quests/all-in-adventures-woodbridge-special-agent-destination-langley,2,ADA compliant
"Escape room ""Special Agent - Destination Langley"" by ALL IN Adventures Woodbridge in Garwood",https://worldofescapes.com/garwood/quests/all-in-adventures-woodbridge-special-agent-destination-langley,3,Up to eight players
