room_title,woe_room_url,tag_id,tag
"Escape room ""Mysterious Adventures of Sherlock Holmes"" by Escapomania in Ocean City",https://worldofescapes.com/ocean-city/quests/escapomania-mysterious-adventures-of-sherlock-holmes,0,Detective
"Escape room ""Mysterious Adventures of Sherlock Holmes"" by Escapomania in Ocean City",https://worldofescapes.com/ocean-city/quests/escapomania-mysterious-adventures-of-sherlock-holmes,1,Public Ticketing
"Escape room ""Mysterious Adventures of Sherlock Holmes"" by Escapomania in Ocean City",https://worldofescapes.com/ocean-city/quests/escapomania-mysterious-adventures-of-sherlock-holmes,2,Up to ten players
