room_title,woe_room_url,tag_id,tag
"Escape room ""The Asylum"" by 13th Gate Escape in Baton Rouge",https://worldofescapes.com/baton-rouge/quests/13th-Gate-Escape-The-Asylum,0,Scary
"Escape room ""The Asylum"" by 13th Gate Escape in Baton Rouge",https://worldofescapes.com/baton-rouge/quests/13th-Gate-Escape-The-Asylum,1,Public Ticketing
"Escape room ""The Asylum"" by 13th Gate Escape in Baton Rouge",https://worldofescapes.com/baton-rouge/quests/13th-Gate-Escape-The-Asylum,2,Halloween
"Escape room ""The Asylum"" by 13th Gate Escape in Baton Rouge",https://worldofescapes.com/baton-rouge/quests/13th-Gate-Escape-The-Asylum,3,Up to eight players
