room_title,woe_room_url,tag_id,tag
"Escape room ""Wild Wild West"" by Padlocked Inc. in Riverside",https://worldofescapes.com/riverside/quests/padlocked-inc-wild-wild-west,0,Adventure
"Escape room ""Wild Wild West"" by Padlocked Inc. in Riverside",https://worldofescapes.com/riverside/quests/padlocked-inc-wild-wild-west,1,Heist
"Escape room ""Wild Wild West"" by Padlocked Inc. in Riverside",https://worldofescapes.com/riverside/quests/padlocked-inc-wild-wild-west,2,Challenging
"Escape room ""Wild Wild West"" by Padlocked Inc. in Riverside",https://worldofescapes.com/riverside/quests/padlocked-inc-wild-wild-west,3,Historic
"Escape room ""Wild Wild West"" by Padlocked Inc. in Riverside",https://worldofescapes.com/riverside/quests/padlocked-inc-wild-wild-west,4,Public Ticketing
"Escape room ""Wild Wild West"" by Padlocked Inc. in Riverside",https://worldofescapes.com/riverside/quests/padlocked-inc-wild-wild-west,5,Up to eight players
