room_title,woe_room_url,tag_id,tag
"Escape room ""The Art Gallery"" by Challenge Escape Rooms in New York",https://worldofescapes.com/nyc/quests/challenge-escape-rooms-the-art-gallery,0,Beginners
"Escape room ""The Art Gallery"" by Challenge Escape Rooms in New York",https://worldofescapes.com/nyc/quests/challenge-escape-rooms-the-art-gallery,1,Public Ticketing
"Escape room ""The Art Gallery"" by Challenge Escape Rooms in New York",https://worldofescapes.com/nyc/quests/challenge-escape-rooms-the-art-gallery,2,Up to six players
