room_title,woe_room_url,tag_id,tag
"Escape room ""Devil of Chicago"" by Trapped Columbus in Columbus",https://worldofescapes.com/columbus/quests/trapped-columbus-devil-of-chicago,0,Scary
"Escape room ""Devil of Chicago"" by Trapped Columbus in Columbus",https://worldofescapes.com/columbus/quests/trapped-columbus-devil-of-chicago,1,Public Ticketing
"Escape room ""Devil of Chicago"" by Trapped Columbus in Columbus",https://worldofescapes.com/columbus/quests/trapped-columbus-devil-of-chicago,2,Halloween
"Escape room ""Devil of Chicago"" by Trapped Columbus in Columbus",https://worldofescapes.com/columbus/quests/trapped-columbus-devil-of-chicago,3,Up to ten players
