room_title,woe_room_url,tag_id,tag
"Escape room ""Lost City"" by Escapology Holmdel in Freehold",https://worldofescapes.com/freehold/quests/escapology-holmdel-lost-city,0,Adventure
"Escape room ""Lost City"" by Escapology Holmdel in Freehold",https://worldofescapes.com/freehold/quests/escapology-holmdel-lost-city,1,Ancient worlds
"Escape room ""Lost City"" by Escapology Holmdel in Freehold",https://worldofescapes.com/freehold/quests/escapology-holmdel-lost-city,2,Mystical
"Escape room ""Lost City"" by Escapology Holmdel in Freehold",https://worldofescapes.com/freehold/quests/escapology-holmdel-lost-city,3,ADA compliant
"Escape room ""Lost City"" by Escapology Holmdel in Freehold",https://worldofescapes.com/freehold/quests/escapology-holmdel-lost-city,4,Private Ticketing
"Escape room ""Lost City"" by Escapology Holmdel in Freehold",https://worldofescapes.com/freehold/quests/escapology-holmdel-lost-city,5,Up to eight players
