room_title,woe_room_url,tag_id,tag
"Escape room ""Under Pressure"" by Escapology Wichita in Wichita",https://worldofescapes.com/wichita/quests/escapology-wichita-under-pressure,0,Historic
"Escape room ""Under Pressure"" by Escapology Wichita in Wichita",https://worldofescapes.com/wichita/quests/escapology-wichita-under-pressure,1,Top Secret
"Escape room ""Under Pressure"" by Escapology Wichita in Wichita",https://worldofescapes.com/wichita/quests/escapology-wichita-under-pressure,2,Private Ticketing
"Escape room ""Under Pressure"" by Escapology Wichita in Wichita",https://worldofescapes.com/wichita/quests/escapology-wichita-under-pressure,3,Up to six players
