room_title,woe_room_url,tag_id,tag
"Escape room ""Prison Break! 2017"" by Colorado Escape in Denver",https://worldofescapes.com/denver/quests/colorado-escape-prison-break-2017,0,Public Ticketing
"Escape room ""Prison Break! 2017"" by Colorado Escape in Denver",https://worldofescapes.com/denver/quests/colorado-escape-prison-break-2017,1,Prison Break
"Escape room ""Prison Break! 2017"" by Colorado Escape in Denver",https://worldofescapes.com/denver/quests/colorado-escape-prison-break-2017,2,Up to six players
